Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
359,Gunnar Henderson,21,BAL,132,.348,125,.333,.181,3.0%,25.8%,12.1%,92.4,53.7%,23.2%,57.3%,15.9%,1.34,30.5%,45.1%,24.4%,0.9,0.3%,6.5,19%,50%,27%,hendegu01
360,Payton Henry,25,MIA,35,.240,46,.200,.000,0.0%,22.9%,14.3%,79.6,10.0%,15.0%,75.0%,5.0%,3.00,15.0%,65.0%,20.0%,-0.1,-0.1%,-0.9,18%,,33%,henrypa01
361,David Hensley,26,HOU,34,.439,190,.409,.241,2.9%,17.7%,14.7%,90.3,39.1%,21.7%,52.2%,26.1%,1.09,26.1%,39.1%,34.8%,-0.2,0.0%,2.4,43%,,0%,henslda01
362,Guillermo Heredia,31,ATL,82,.253,52,.220,.184,3.7%,39.0%,7.3%,86.0,31.8%,20.5%,36.4%,29.5%,0.57,31.8%,54.5%,13.6%,-0.3,0.0%,-5.2,36%,,67%,heredgu01
363,Michael Hermosillo,27,CHC,73,.221,28,.206,.033,0.0%,37.0%,9.6%,85.4,31.4%,28.6%,34.3%,22.9%,0.55,22.9%,60.0%,17.1%,-0.3,-0.1%,-4.6,37%,100%,56%,hermomi01
364,César Hernández,32,WSN,617,.285,83,.309,.070,0.2%,18.5%,7.3%,83.0,29.9%,26.4%,45.2%,19.3%,0.88,27.1%,48.8%,24.2%,-2.0,-0.1%,-15.1,33%,71%,48%,hernace02
365,Elier Hernandez,27,TEX,35,.194,14,.316,.061,0.0%,42.9%,2.9%,83.9,15.8%,26.3%,15.8%,47.4%,0.19,31.6%,31.6%,36.8%,-0.4,0.0%,-3.3,50%,,20%,hernael02
366,Enrique Hernández,30,BOS,402,.284,73,.257,.116,1.5%,17.7%,8.5%,87.8,35.2%,23.5%,39.8%,22.1%,0.66,32.7%,49.0%,18.4%,-0.5,-0.2%,-12.2,38%,0%,57%,hernaen02
367,Teoscar Hernández,29,TOR,535,.359,133,.335,.224,4.7%,28.4%,6.4%,92.6,53.3%,24.8%,44.4%,25.6%,0.80,28.0%,51.0%,21.0%,0.8,0.4%,8.6,32%,67%,46%,hernate01
368,Yadiel Hernández,34,WSN,327,.323,110,.326,.141,2.8%,22.6%,5.8%,88.8,42.6%,25.3%,50.6%,23.2%,1.03,26.6%,55.8%,17.6%,-0.6,-0.1%,-1.1,23%,67%,30%,hernaya01
369,Yonny Hernandez,24,ARI,28,.169,-27,.100,.000,0.0%,14.3%,7.1%,75.3,13.6%,18.2%,63.6%,4.5%,2.80,36.4%,40.9%,22.7%,-0.7,-0.3%,-3.8,50%,100%,100%,hernayo02
370,Iván Herrera,22,STL,22,.152,-19,.182,.000,0.0%,36.4%,9.1%,81.4,16.7%,8.3%,50.0%,25.0%,1.20,16.7%,50.0%,33.3%,-0.2,-0.2%,-2.9,0%,,,herreiv01
371,Jose Herrera,25,ARI,124,.214,25,.273,.018,0.0%,27.4%,7.3%,80.8,11.1%,17.3%,59.3%,11.1%,1.78,42.0%,44.4%,13.6%,-0.9,-0.3%,-11.3,30%,,25%,herrejo04
372,Odúbel Herrera,30,PHI,197,.308,88,.281,.141,2.5%,21.3%,5.6%,86.3,38.3%,17.4%,56.3%,17.4%,1.33,36.8%,43.1%,20.1%,-0.4,-0.3%,-1.4,36%,100%,67%,herreod01
373,Jason Heyward,32,CHC,151,.259,57,.260,.073,0.7%,21.2%,7.3%,87.6,38.1%,21.0%,45.7%,21.0%,0.84,45.7%,42.9%,11.4%,-1.3,-0.4%,-8.4,34%,100%,44%,heywaja01
374,Brewer Hicklen,26,KCR,4,.000,-130,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.5,33%,,0%,hicklbr01
375,Aaron Hicks,32,NYY,453,.304,91,.279,.096,1.8%,24.1%,13.7%,87.3,33.3%,20.5%,43.5%,23.7%,0.79,37.1%,43.5%,19.4%,-2.9,-1.5%,-11.5,32%,77%,43%,hicksaa01
376,Kyle Higashioka,32,NYY,248,.284,80,.246,.162,4.0%,21.0%,4.8%,90.3,48.4%,25.1%,35.0%,28.4%,0.55,29.5%,59.6%,10.9%,-1.5,-0.8%,-8.6,30%,0%,25%,higasky01
377,P.J. Higgins,29,CHC,229,.309,94,.290,.154,2.6%,25.3%,9.6%,83.8,25.5%,27.2%,41.5%,21.1%,0.76,25.2%,49.7%,25.2%,-0.2,0.1%,2.9,26%,,29%,higgipj01
378,Derek Hill,26,DET,92,.253,54,.327,.060,1.1%,30.4%,5.4%,78.5,30.5%,23.7%,42.4%,16.9%,0.96,15.3%,61.0%,23.7%,-0.6,-0.1%,-7.7,28%,100%,50%,hillde01
379,Sam Hilliard,28,COL,200,.268,51,.256,.080,1.0%,28.5%,11.5%,92.0,48.7%,21.0%,44.5%,26.1%,0.80,31.9%,55.5%,12.6%,-1.1,-0.2%,-11.2,38%,83%,53%,hillisa01
380,Keston Hiura,25,MIL,266,.347,123,.355,.222,5.3%,41.7%,8.7%,91.7,45.5%,24.2%,36.3%,33.9%,0.57,24.2%,56.5%,19.4%,1.0,0.5%,1.0,28%,71%,15%,hiurake01
381,Nico Hoerner,25,CHC,517,.334,107,.300,.129,1.9%,11.0%,5.4%,87.1,33.8%,23.5%,46.2%,24.2%,0.86,23.2%,52.3%,24.4%,0.3,0.1%,6.1,31%,91%,41%,hoernni01
382,Rhys Hoskins,29,PHI,672,.348,122,.292,.216,4.5%,25.2%,10.7%,90.1,44.4%,22.9%,36.3%,33.0%,0.57,28.3%,54.7%,17.0%,1.5,0.6%,15.6,26%,67%,25%,hoskirh01
383,Eric Hosmer,32,TOT,419,.329,116,.304,.113,1.9%,15.3%,8.8%,88.4,40.3%,21.5%,57.1%,15.1%,1.33,33.1%,51.1%,15.8%,0.6,0.5%,4.8,23%,,24%,hosmeer01
384,Eric Hosmer,32,SDP,369,.328,117,.304,.119,2.2%,14.9%,8.9%,88.2,39.7%,21.7%,58.7%,12.8%,1.42,33.8%,50.2%,16.0%,0.9,0.6%,4.8,21%,,24%,hosmeer01
385,Eric Hosmer,32,BOS,50,.341,113,.306,.067,0.0%,18.0%,8.0%,89.4,44.4%,19.4%,44.4%,33.3%,0.80,27.8%,58.3%,13.9%,-0.3,-0.1%,0.0,38%,,25%,hosmeer01
386,Sam Huff,24,TEX,132,.310,97,.333,.132,3.0%,31.8%,8.3%,88.9,36.7%,26.6%,44.3%,24.1%,0.80,31.6%,55.7%,12.7%,-0.2,-0.1%,-0.2,14%,100%,22%,huffsa01
387,Cooper Hummel,27,ARI,201,.268,65,.255,.131,1.5%,31.8%,11.4%,87.6,36.0%,20.4%,47.8%,24.8%,0.92,30.1%,54.0%,15.9%,-0.6,-0.3%,-6.9,33%,80%,30%,hummeco01
388,Andy Ibáñez,29,TEX,128,.254,53,.258,.059,0.8%,16.4%,7.0%,88.3,39.8%,12.2%,43.9%,29.6%,0.78,13.3%,62.2%,24.5%,-0.5,-0.2%,-1.9,35%,100%,50%,ibanean01
389,José Iglesias,32,COL,467,.315,88,.326,.089,0.6%,12.0%,3.6%,83.7,27.9%,25.4%,53.1%,16.8%,1.14,30.6%,50.9%,18.4%,-0.8,0.0%,-6.7,30%,40%,38%,iglesjo01
390,Ender Inciarte,31,NYM,8,.100,-52,.125,.000,0.0%,0.0%,0.0%,74.0,12.5%,25.0%,75.0%,0.0%,3.00,37.5%,50.0%,12.5%,-0.1,-0.1%,-1.7,20%,,,inciaen01
391,Jonathan India,25,CIN,431,.319,94,.305,.130,2.3%,21.8%,7.2%,84.9,29.0%,23.6%,41.4%,25.7%,0.71,32.5%,51.0%,16.4%,0.1,-0.2%,-1.5,29%,43%,38%,indiajo01
392,Kyle Isbel,25,KCR,278,.262,62,.275,.129,1.8%,27.0%,5.8%,88.9,44.8%,25.5%,42.4%,20.1%,0.76,41.3%,45.1%,13.6%,-2.3,-0.2%,-18.0,33%,60%,58%,isbelky01
393,Alex Jackson,26,MIL,12,.225,36,.600,.000,0.0%,58.3%,0.0%,79.6,0.0%,40.0%,40.0%,20.0%,0.67,0.0%,80.0%,20.0%,-0.1,-0.1%,-1.3,0%,,0%,jacksal02
394,Drew Jackson,28,OAK,3,.000,-123,.000,.000,0.0%,33.3%,0.0%,83.8,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.7,,,,jacksdr01
395,Travis Jankowski,31,TOT,64,.244,44,.200,.000,0.0%,15.6%,12.5%,78.2,22.2%,11.1%,66.7%,6.7%,2.50,26.7%,57.8%,15.6%,-0.6,-0.5%,-4.5,36%,100%,50%,jankotr01
396,Travis Jankowski,31,NYM,63,.248,46,.200,.000,0.0%,14.3%,12.7%,78.2,22.2%,11.1%,66.7%,6.7%,2.50,26.7%,57.8%,15.6%,-0.6,-0.4%,-4.1,36%,100%,50%,jankotr01
397,Travis Jankowski,31,SEA,1,.000,-122,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4,,,,jankotr01
398,Danny Jansen,27,TOR,248,.367,139,.255,.256,6.1%,17.7%,10.1%,90.4,46.9%,18.8%,33.5%,32.4%,0.50,36.9%,52.3%,10.8%,0.5,0.2%,10.5,27%,100%,36%,janseda01
399,Ryan Jeffers,25,MIN,236,.291,86,.259,.156,3.0%,26.3%,9.8%,87.3,42.7%,21.9%,35.8%,33.8%,0.57,31.1%,48.3%,20.5%,-0.7,-0.2%,-6.5,30%,,53%,jeffery01
400,Eloy Jiménez,25,CHW,327,.372,140,.337,.205,4.9%,22.0%,8.6%,92.8,54.9%,21.9%,50.0%,25.4%,1.00,25.0%,56.3%,18.8%,1.3,0.9%,18.0,24%,,29%,jimenel02
401,Connor Joe,29,COL,467,.322,91,.296,.121,1.5%,20.8%,11.8%,85.3,34.1%,26.3%,47.1%,19.5%,0.89,26.0%,55.5%,18.5%,-0.4,0.2%,-8.7,32%,75%,42%,joeco01
402,Bryce Johnson,26,SFG,19,.131,-33,.182,.000,0.0%,36.8%,5.3%,82.6,18.2%,36.4%,36.4%,18.2%,0.57,18.2%,72.7%,9.1%,-0.2,0.0%,-2.7,25%,,,johnsbr03
403,Nolan Jones,24,CLE,94,.298,91,.358,.128,2.1%,33.0%,8.5%,88.5,49.1%,32.7%,36.4%,25.5%,0.59,29.1%,58.2%,12.7%,-0.1,-0.1%,1.7,30%,,33%,jonesno01
404,Taylor Jones,28,HOU,1,.000,-128,.000,.000,0.0%,0.0%,0.0%,97.8,100.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,,jonesta01
405,Aaron Judge,30,NYY,696,.463,209,.340,.375,8.9%,25.1%,16.0%,95.8,61.9%,22.3%,37.0%,38.3%,0.59,34.3%,51.5%,14.3%,8.1,3.4%,81.1,31%,84%,50%,judgeaa01
406,Josh Jung,24,TEX,102,.286,77,.278,.214,4.9%,38.2%,3.9%,85.5,32.2%,25.4%,42.4%,25.4%,0.74,33.9%,49.2%,16.9%,-0.4,0.0%,-2.5,21%,100%,33%,jungjo01
407,Gosuke Katoh,27,TOR,11,.332,115,.167,.143,0.0%,9.1%,27.3%,78.1,14.3%,0.0%,57.1%,14.3%,2.00,42.9%,42.9%,14.3%,0.0,0.0%,-1.0,29%,,50%,katohgo01
408,Jarred Kelenic,22,SEA,181,.242,53,.167,.172,3.9%,33.7%,8.8%,86.0,35.0%,16.5%,36.9%,31.1%,0.58,27.2%,57.3%,15.5%,-1.1,-0.7%,-11.6,39%,71%,30%,kelenja01
409,Carson Kelly,27,ARI,354,.275,71,.247,.123,2.0%,20.1%,8.2%,87.4,36.9%,22.8%,40.8%,28.4%,0.69,25.2%,61.6%,13.2%,-2.1,-0.6%,-12.2,36%,100%,29%,kellyca02
410,Tony Kemp,30,OAK,558,.292,86,.259,.099,1.3%,12.4%,8.1%,82.2,14.9%,22.9%,39.0%,24.3%,0.69,36.5%,46.8%,16.7%,0.0,-0.3%,2.9,33%,92%,51%,kempto01
411,Buddy Kennedy,23,ARI,94,.280,75,.279,.108,1.1%,24.5%,8.5%,88.6,32.3%,25.8%,43.5%,25.8%,0.77,22.6%,48.4%,29.0%,-0.1,0.0%,1.2,33%,,63%,kennebu01
412,Max Kepler,29,MIN,446,.305,97,.249,.121,2.0%,14.8%,11.0%,89.1,39.9%,23.3%,46.6%,24.5%,0.87,36.5%,49.7%,13.8%,-0.5,-0.4%,-2.0,34%,60%,53%,keplema01
413,Kevin Kiermaier,32,TBR,221,.299,92,.290,.141,3.2%,27.6%,6.3%,87.9,38.6%,20.7%,52.4%,23.4%,1.10,25.5%,54.5%,20.0%,0.3,0.1%,2.6,37%,86%,69%,kiermke01
414,Ha-Seong Kim,26,SDP,582,.322,110,.290,.132,1.9%,17.2%,8.8%,86.1,32.5%,25.9%,39.9%,22.9%,0.67,32.3%,54.2%,13.4%,-1.3,-0.6%,3.7,26%,86%,45%,kimha01
415,Isiah Kiner-Falefa,27,NYY,531,.299,84,.296,.066,0.8%,13.6%,6.6%,85.3,30.1%,23.4%,54.4%,14.8%,1.24,22.0%,53.2%,24.8%,0.4,0.3%,0.8,38%,85%,50%,kineris01
416,Alex Kirilloff,24,MIN,156,.297,90,.308,.111,1.9%,23.1%,3.2%,89.3,45.5%,15.5%,55.5%,26.4%,1.24,27.3%,56.4%,16.4%,-0.3,-0.1%,2.7,26%,,29%,kirilal01
417,Alejandro Kirk,23,TOR,541,.359,134,.299,.130,2.6%,10.7%,11.7%,90.5,45.5%,24.5%,50.0%,20.4%,1.00,22.8%,54.3%,22.8%,1.0,0.8%,20.0,24%,,14%,kirkal01
418,Andrew Knapp,30,TOT,46,.197,14,.179,.026,0.0%,26.1%,10.9%,84.6,25.0%,14.3%,50.0%,17.9%,1.08,42.9%,42.9%,14.3%,-0.1,0.0%,-2.7,36%,,33%,knappan01
419,Andrew Knapp,30,TOT,42,.215,27,.185,.029,0.0%,21.4%,11.9%,84.5,25.9%,14.8%,51.9%,14.8%,1.17,44.4%,40.7%,14.8%,0.1,0.1%,-1.2,36%,,33%,knappan01
420,Andrew Knapp,30,PIT,35,.193,11,.182,.032,0.0%,25.7%,8.6%,83.2,27.3%,9.1%,59.1%,13.6%,1.63,45.5%,40.9%,13.6%,0.0,0.1%,-1.8,25%,,50%,knappan01
421,Andrew Knapp,30,SEA,4,.000,-122,.000,.000,0.0%,75.0%,0.0%,87.1,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,100.0%,0.0%,-0.2,-0.1%,-1.4,,,,knappan01
422,Andrew Knapp,30,SFG,7,.327,107,.200,.000,0.0%,0.0%,28.6%,90.2,20.0%,40.0%,20.0%,20.0%,0.25,40.0%,40.0%,20.0%,0.0,0.0%,0.5,67%,,0%,knappan01
423,Andrew Knizner,27,STL,293,.277,78,.268,.085,1.4%,21.2%,8.9%,85.8,33.2%,17.6%,45.2%,23.6%,0.83,21.1%,58.8%,20.1%,-2.6,-1.4%,-13.8,28%,0%,36%,kniznan01
424,Mark Kolozsvary,26,CIN,21,.288,70,.300,.250,4.8%,42.9%,4.8%,88.3,45.5%,36.4%,45.5%,18.2%,0.83,18.2%,81.8%,0.0%,0.3,0.0%,-0.7,40%,,,kolozma01
425,Ryan Kreidler,24,DET,84,.222,41,.231,.055,1.2%,26.2%,7.1%,86.6,32.7%,16.4%,38.2%,38.2%,0.66,30.9%,52.7%,16.4%,-0.6,0.0%,-4.8,35%,0%,63%,kreidry01
426,Jason Krizan,33,SFG,10,.229,36,.200,.000,0.0%,30.0%,20.0%,94.5,40.0%,40.0%,40.0%,20.0%,0.67,40.0%,40.0%,20.0%,-0.1,-0.1%,-1.8,0%,,,krizaja01
427,Steven Kwan,24,CLE,638,.349,126,.323,.101,0.9%,9.4%,9.7%,84.7,20.9%,27.9%,41.8%,23.6%,0.73,26.7%,49.3%,24.0%,0.8,0.2%,14.3,36%,79%,46%,kwanst01
428,Tommy La Stella,33,SFG,195,.278,72,.272,.111,1.0%,15.4%,5.6%,87.9,32.0%,28.1%,39.2%,24.8%,0.65,37.3%,45.1%,17.6%,-2.1,-0.9%,-8.8,28%,,13%,lasteto01
429,Juan Lagares,33,LAA,62,.201,17,.244,.067,0.0%,24.2%,3.2%,88.4,40.0%,33.3%,35.6%,24.4%,0.55,31.1%,55.6%,13.3%,-0.8,-0.4%,-8.4,29%,,50%,lagarju01
430,Jake Lamb,31,TOT,111,.318,102,.321,.175,2.7%,34.2%,9.9%,91.5,44.1%,22.0%,37.3%,33.9%,0.59,35.6%,49.2%,15.3%,-0.3,-0.2%,-8.6,30%,0%,50%,lambja01
431,Jake Lamb,31,LAD,77,.344,118,.341,.194,2.6%,31.2%,10.4%,91.9,46.5%,30.2%,41.9%,23.3%,0.72,44.2%,44.2%,11.6%,0.1,0.0%,-6.2,33%,0%,60%,lambja01
432,Jake Lamb,31,SEA,34,.259,66,.267,.133,2.9%,41.2%,8.8%,90.4,37.5%,0.0%,25.0%,62.5%,0.33,12.5%,62.5%,25.0%,-0.4,-0.2%,-2.4,22%,,40%,lambja01
433,Shea Langeliers,24,OAK,153,.295,91,.294,.211,3.9%,34.6%,5.9%,87.3,38.5%,25.3%,37.4%,24.2%,0.60,46.2%,47.3%,6.6%,-0.2,0.0%,0.6,24%,,13%,langesh01
434,Trevor Larnach,25,MIN,180,.309,99,.320,.175,2.8%,31.7%,10.0%,90.1,43.8%,18.1%,41.9%,36.2%,0.72,36.2%,47.6%,16.2%,-0.3,-0.2%,-0.5,33%,,50%,larnatr01
435,Jack Larsen,27,SEA,1,.000,-122,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,larseja01
436,Ramón Laureano,27,OAK,383,.302,97,.262,.165,3.4%,27.2%,6.5%,88.7,38.4%,18.6%,43.4%,30.2%,0.77,28.1%,50.4%,21.5%,-0.7,-0.1%,-5.3,37%,65%,52%,laurera01
437,Bryan Lavastida,23,CLE,15,.197,18,.125,.000,0.0%,26.7%,20.0%,87.6,37.5%,0.0%,62.5%,37.5%,1.67,12.5%,50.0%,37.5%,-0.2,-0.1%,-1.9,0%,,,lavasbr01
438,Charles Leblanc,26,MIA,169,.328,109,.374,.141,2.4%,31.4%,7.1%,86.8,32.0%,25.2%,36.9%,28.2%,0.59,31.1%,45.6%,23.3%,-0.5,0.0%,-0.5,28%,67%,50%,leblach01
439,Khalil Lee,24,NYM,2,1.023,611,.000,1.500,50.0%,0.0%,0.0%,82.1,50.0%,0.0%,50.0%,50.0%,1.00,0.0%,100.0%,0.0%,0.0,0.0%,2.5,,,,leekh01
440,Korey Lee,23,HOU,26,.189,9,.250,.080,0.0%,34.6%,3.9%,83.7,25.0%,6.3%,56.3%,25.0%,1.29,31.3%,62.5%,6.3%,-0.1,0.0%,-0.8,17%,,,leeko01
441,DJ LeMahieu,33,NYY,541,.339,119,.285,.116,2.2%,13.1%,12.4%,88.7,41.0%,25.6%,53.9%,17.0%,1.19,14.5%,57.4%,28.1%,1.0,0.7%,18.7,34%,57%,39%,lemahdj01
442,Sandy Leon,33,TOT,86,.245,52,.273,.042,0.0%,31.4%,15.1%,81.5,26.1%,37.0%,23.9%,19.6%,0.34,37.0%,43.5%,19.6%,-0.5,-0.1%,-5.7,24%,,25%,leonsa01
443,Sandy Leon,33,CLE,21,.282,80,.182,.000,0.0%,19.1%,28.6%,91.9,63.6%,36.4%,18.2%,27.3%,0.22,27.3%,54.5%,18.2%,0.0,0.0%,-0.7,0%,,100%,leonsa01
444,Sandy Leon,33,MIN,65,.233,42,.303,.054,0.0%,35.4%,10.8%,78.2,14.3%,37.1%,25.7%,17.1%,0.39,40.0%,40.0%,20.0%,-0.4,-0.1%,-5.0,35%,,18%,leonsa01
445,Josh Lester,27,DET,5,.000,-123,.000,.000,0.0%,60.0%,0.0%,98.6,50.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,0.0%,-0.9,,,,lestejo02
446,Kyle Lewis,26,SEA,62,.254,63,.147,.161,4.8%,30.7%,8.1%,89.9,33.3%,18.9%,45.9%,21.6%,0.85,21.6%,64.9%,13.5%,-0.4,-0.3%,-3.6,27%,,0%,lewisky01
447,Royce Lewis,23,MIN,41,.370,143,.303,.250,4.9%,12.2%,2.4%,90.7,40.0%,20.0%,34.3%,34.3%,0.52,40.0%,48.6%,11.4%,0.0,0.0%,1.5,27%,,67%,lewisro02
448,Luis Liberato,26,SDP,5,.000,-119,.000,.000,0.0%,60.0%,0.0%,92.1,50.0%,0.0%,0.0%,100.0%,0.00,0.0%,50.0%,50.0%,0.0,0.0%,-1.5,0%,,,liberlu01
449,Francisco Lindor,28,NYM,706,.351,128,.301,.179,3.7%,18.8%,8.4%,89.2,41.4%,20.4%,43.3%,27.6%,0.76,31.9%,50.8%,17.3%,3.3,1.8%,33.5,34%,73%,48%,lindofr01
450,Tim Locastro,29,NYY,46,.279,59,.176,.163,4.4%,15.2%,4.4%,86.5,25.7%,27.8%,38.9%,19.4%,0.64,33.3%,55.6%,11.1%,-0.1,0.0%,1.7,41%,80%,43%,locasti01
